,text,ground_truth
196267,I can imagine this becoming a thing if Rare/Lego can team up,"['optimism', 'excitement']"
76712,I’m not crying... I’m just cutting onions... I-I’m making lasagna..,['embarrassment']
51186,I appreciate your meme OP.,"['approval', 'admiration']"
129083,I have to imagine the camera lens part is utter BS.,"['disapproval', 'annoyance']"
175779,Scorched Pizza! A true crime!,"['annoyance', 'disgust']"
18090,We're well past the demoralization phase. You're 20 years too late. The left has morphed into something unrecognizable now :(,"['remorse', 'sadness']"
4843,Spoken like someone who has never faced off with a gorilla with a gun.,['disapproval']
96204,Yo bud take a breather. It’s just b-ball,['caring']
149013,DmC fans love DMC 5 the fuck this is what i just don't understand we don't pick DMC or DmC WE LIKE BOTH there are no sides,"['disapproval', 'annoyance']"
180313,That I’d have no way of verifying. Trolls can report things as well as normal users.,['disapproval']
32390,"Yes dude, exactly them who didn't call the pi that would have ended the game.","['amusment', 'confusion']"
76601,"Since it’s a commercial truck, the driver probably has a CDL.",['neutral']
152655,"It took 8 years of healing before I could open my journals. Pace yourself, you'll heal, friend.",['caring']
135942,That’s what I ended up doing lol,['approval']
64003,"So, about that weather.",['neutral']
115295,Big game tonight,['excitement']
138539,Don’t get your hopes up for new armour,['realization']
157216,Human produce bad carbon dioxide too We should EAT OURSELVES ️,['disapproval']
88288,at least you’re getting hit on,['sadness']
67153,Hes a daywalker!,['neutral']
