label,correct,incorrect,precision,recall,f1_score,bce_loss
admiration,0.0,1.0,0.0,0.0,0.0,5.0
amusement,0.0,10.0,0.0,0.0,0.0,50.0
anger,0.0,1.0,0.0,0.0,0.0,5.0
annoyance,2.0,4.0,0.4,0.6666666666666666,0.5,20.0
approval,0.0,7.0,0.0,0.0,0.0,35.0
caring,2.0,2.0,0.5,1.0,0.6666666666666666,10.0
confusion,0.0,1.0,0.0,0.0,0.0,5.0
curiosity,0.0,2.0,0.0,0.0,0.0,10.0
desire,0.0,0.0,0.0,0.0,0.0,0.0
disappointment,0.0,2.0,0.0,0.0,0.0,10.0
disapproval,1.0,7.0,0.25,0.2,0.22222222222222224,35.0
disgust,0.0,2.0,0.0,0.0,0.0,10.0
embarrassment,1.0,0.0,1.0,1.0,1.0,0.0
excitement,2.0,1.0,0.6666666666666666,1.0,0.8,5.0
fear,0.0,0.0,0.0,0.0,0.0,0.0
gratitude,0.0,1.0,0.0,0.0,0.0,5.0
grief,0.0,1.0,0.0,0.0,0.0,5.0
joy,0.0,0.0,0.0,0.0,0.0,0.0
love,0.0,1.0,0.0,0.0,0.0,5.0
nervousness,0.0,1.0,0.0,0.0,0.0,5.0
optimism,1.0,1.0,0.5,1.0,0.6666666666666666,5.0
pride,0.0,0.0,0.0,0.0,0.0,0.0
realization,0.0,1.0,0.0,0.0,0.0,5.0
relief,0.0,1.0,0.0,0.0,0.0,5.0
remorse,0.0,1.0,0.0,0.0,0.0,5.0
sadness,1.0,1.0,1.0,0.5,0.6666666666666666,5.0
surprise,0.0,1.0,0.0,0.0,0.0,5.0
neutral,1.0,2.0,1.0,0.3333333333333333,0.5,10.0
