text,ds_emotions,groq70,fireworks70,ollama8
I can imagine this becoming a thing if Rare/Lego can team up,['neutral'],"['optimism', 'excitement']","['optimism', 'excitement']",['neutral']
I’m not crying... I’m just cutting onions... I-I’m making lasagna..,['neutral'],"['amusement', 'embarrassment']","['amusement', 'embarrassment']",['amusement']
I appreciate your meme OP.,['neutral'],"['admiration', 'approval']","['admiration', 'gratitude', 'approval']",['amusement']
I have to imagine the camera lens part is utter BS.,['neutral'],"['annoyance', 'disapproval']","['annoyance', 'disapproval']","['disgust', 'annoyance']"
Scorched Pizza! A true crime!,['neutral'],"['amusement', 'surprise']","['amusement', 'annoyance']",['anger disgust surprise']
We're well past the demoralization phase. You're 20 years too late. The left has morphed into something unrecognizable now :(,['neutral'],"['sadness', 'disappointment']","['disappointment', 'sadness']","['anger', 'disappointment', 'disgust']"
Spoken like someone who has never faced off with a gorilla with a gun.,['neutral'],"['amusement', 'annoyance']","['amusement', 'annoyance']","['amusement', 'surprise']"
Yo bud take a breather. It’s just b-ball,['neutral'],"['caring', 'relief']","['caring', 'relief']",['amusement']
DmC fans love DMC 5 the fuck this is what i just don't understand we don't pick DMC or DmC WE LIKE BOTH there are no sides,['neutral'],"['annoyance', 'optimism', 'pride']","['annoyance', 'love']","['anger', 'confusion', 'amusement']"
That I’d have no way of verifying. Trolls can report things as well as normal users.,['neutral'],"['annoyance', 'disappointment']","['annoyance', 'skepticism']","['anger', 'annoyance']"
"Yes dude, exactly them who didn't call the pi that would have ended the game.",['neutral'],"['approval', 'disappointment']","['approval', 'annoyance']",['amusement']
"Since it’s a commercial truck, the driver probably has a CDL.",['neutral'],['neutral'],['neutral'],['approval']
"It took 8 years of healing before I could open my journals. Pace yourself, you'll heal, friend.",['neutral'],"['Caring', 'Optimism']","['caring', 'optimism']","['sadness', 'relief']"
That’s what I ended up doing lol,['neutral'],['amusement'],['amusement'],['amusement']
"So, about that weather.",['neutral'],['neutral'],"['curiosity', 'neutrality']",['amusement']
Big game tonight,['neutral'],['excitement'],['excitement'],['excitement']
Don’t get your hopes up for new armour,['neutral'],"['disappointment', 'caution']","['disappointment', 'disapproval']",['disappointment']
Human produce bad carbon dioxide too We should EAT OURSELVES ️,['neutral'],"['amusement', 'anger']","['amusement', 'sarcasm']","['anger', 'disgust']"
at least you’re getting hit on,['neutral'],"['amusement', 'annoyance']","['amusement', 'optimism']",['amusement']
Hes a daywalker!,['neutral'],"['amusement', 'excitement']","['amusement', 'surprise']",['excitement']
